rdfid,name,time,value,sub_rdfid
_0A37CB75E86846668F178FF9316D695B,WINL_VOLT,3.0,1.0,_4F715892155341C8A76534537F095B49
_0A5BDB6E87604E929E2AFBD74EC49D76,WINL_ANG,3.0,-22.99965306113169,_4F715892155341C8A76534537F095B49
_0B47C04EA3A045E3BACA27AF6809CCBF,BOWM_VOLT,3.0,0.9022545166199242,_58F637D8B03A4B12A67DF2E5797F9B6A
_0CDB2CCB4A86457DB174F44B0242DCA4,BOWM_ANG,3.0,-14.305622731855227,_58F637D8B03A4B12A67DF2E5797F9B6A
_0D37A27132EA4D94A8F0749B0766D1CE,TROY_VOLT,3.0,0.8517367521376791,_7324D6723635494784A4D8A9578FCE8A
_0DEC4920744048C5B136B40090428948,TROY_ANG,3.0,-25.62748142840882,_7324D6723635494784A4D8A9578FCE8A
_0E2507C6DA854A39A75E3EBADA882446,MAPL_VOLT,3.0,0.9558510466121715,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_1092FC782BA546479EB039E18D13844D,MAPL_ANG,3.0,-25.986725163891048,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_11691578444A449C95B5D999955F8E3B,GRAN_VOLT,3.0,0.9079722413478702,_7DD325DCEFC248989B72AAD58D3DD4E9
_121025A0C8334FEBB8D6BFB953D8CE54,GRAN_ANG,3.0,-30.679330023999643,_7DD325DCEFC248989B72AAD58D3DD4E9
_1329670D0EE04FBAA5D15ED8DA17C073,WAUT_VOLT,3.0,0.9420048902624436,_95D3CD0256FB4C9DB2860CFEFA45CD57
_141EB0670C394F5DB9D2E85567C7C474,WAUT_ANG,3.0,-24.88106855019753,_95D3CD0256FB4C9DB2860CFEFA45CD57
_14F8FF6E7ECD438AAD432529AA2D087F,CROSS_VOLT,3.0,0.8226952582191878,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_160795646A1F4EDA9DAB9898ECC88150,CROSS_ANG,3.0,-28.008158830475814,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_01D9AE7C82794BF28EC9C743A09A5C11,CLAR_VOLT,66.0,1.0,_2BCC3D5923464FED9E08EB12EC388BD7
_02585A763FE446A599EABAAE1946E663,CLAR_ANG,66.0,0.0,_2BCC3D5923464FED9E08EB12EC388BD7
_048E634F63974DB9959C118F947A5C9F,AMHE_VOLT,66.0,0.9999999999999999,_4273A87151C0409780237BFD866C23DA
_0713BD82B583442DBC61E779F2CF286B,AMHE_ANG,66.0,-23.775939232238066,_4273A87151C0409780237BFD866C23DA
_0A37CB75E86846668F178FF9316D695B,WINL_VOLT,66.0,0.9999999999999998,_4F715892155341C8A76534537F095B49
_0A5BDB6E87604E929E2AFBD74EC49D76,WINL_ANG,66.0,-28.010410036970423,_4F715892155341C8A76534537F095B49
_0B47C04EA3A045E3BACA27AF6809CCBF,BOWM_VOLT,66.0,0.8809116160518383,_58F637D8B03A4B12A67DF2E5797F9B6A
_0CDB2CCB4A86457DB174F44B0242DCA4,BOWM_ANG,66.0,-16.472724022428658,_58F637D8B03A4B12A67DF2E5797F9B6A
_0D37A27132EA4D94A8F0749B0766D1CE,TROY_VOLT,66.0,0.8332379034987138,_7324D6723635494784A4D8A9578FCE8A
_0DEC4920744048C5B136B40090428948,TROY_ANG,66.0,-29.968637966653688,_7324D6723635494784A4D8A9578FCE8A
_0E2507C6DA854A39A75E3EBADA882446,MAPL_VOLT,66.0,0.95056999378912,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_1092FC782BA546479EB039E18D13844D,MAPL_ANG,66.0,-31.0140925027091,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_11691578444A449C95B5D999955F8E3B,GRAN_VOLT,66.0,0.9024471807983862,_7DD325DCEFC248989B72AAD58D3DD4E9
_121025A0C8334FEBB8D6BFB953D8CE54,GRAN_ANG,66.0,-36.0104822841231,_7DD325DCEFC248989B72AAD58D3DD4E9
_1329670D0EE04FBAA5D15ED8DA17C073,WAUT_VOLT,66.0,0.9339086148446207,_95D3CD0256FB4C9DB2860CFEFA45CD57
_141EB0670C394F5DB9D2E85567C7C474,WAUT_ANG,66.0,-30.038485760429385,_95D3CD0256FB4C9DB2860CFEFA45CD57
_14F8FF6E7ECD438AAD432529AA2D087F,CROSS_VOLT,66.0,0.788663680644493,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_160795646A1F4EDA9DAB9898ECC88150,CROSS_ANG,66.0,-32.797550888558,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_01D9AE7C82794BF28EC9C743A09A5C11,CLAR_VOLT,31.0,1.0,_2BCC3D5923464FED9E08EB12EC388BD7
_02585A763FE446A599EABAAE1946E663,CLAR_ANG,31.0,0.0,_2BCC3D5923464FED9E08EB12EC388BD7
_048E634F63974DB9959C118F947A5C9F,AMHE_VOLT,31.0,0.9999999999999998,_4273A87151C0409780237BFD866C23DA
_0713BD82B583442DBC61E779F2CF286B,AMHE_ANG,31.0,-18.274806422998445,_4273A87151C0409780237BFD866C23DA
_0A37CB75E86846668F178FF9316D695B,WINL_VOLT,31.0,0.9999999999999999,_4F715892155341C8A76534537F095B49
_0A5BDB6E87604E929E2AFBD74EC49D76,WINL_ANG,31.0,-22.82393455705684,_4F715892155341C8A76534537F095B49
_0B47C04EA3A045E3BACA27AF6809CCBF,BOWM_VOLT,31.0,0.9097548154266004,_58F637D8B03A4B12A67DF2E5797F9B6A
_0CDB2CCB4A86457DB174F44B0242DCA4,BOWM_ANG,31.0,-14.370899911353591,_58F637D8B03A4B12A67DF2E5797F9B6A
_0D37A27132EA4D94A8F0749B0766D1CE,TROY_VOLT,31.0,0.8693830134622972,_7324D6723635494784A4D8A9578FCE8A
_0DEC4920744048C5B136B40090428948,TROY_ANG,31.0,-25.995907434695383,_7324D6723635494784A4D8A9578FCE8A
_0E2507C6DA854A39A75E3EBADA882446,MAPL_VOLT,31.0,0.9582444549299897,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_1092FC782BA546479EB039E18D13844D,MAPL_ANG,31.0,-25.803539104832858,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_11691578444A449C95B5D999955F8E3B,GRAN_VOLT,31.0,0.90480339924503,_7DD325DCEFC248989B72AAD58D3DD4E9
_121025A0C8334FEBB8D6BFB953D8CE54,GRAN_ANG,31.0,-30.28593347198767,_7DD325DCEFC248989B72AAD58D3DD4E9
_1329670D0EE04FBAA5D15ED8DA17C073,WAUT_VOLT,31.0,0.9423114004241797,_95D3CD0256FB4C9DB2860CFEFA45CD57
_141EB0670C394F5DB9D2E85567C7C474,WAUT_ANG,31.0,-24.48128807259621,_95D3CD0256FB4C9DB2860CFEFA45CD57
_14F8FF6E7ECD438AAD432529AA2D087F,CROSS_VOLT,31.0,0.8316310402463016,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_160795646A1F4EDA9DAB9898ECC88150,CROSS_ANG,31.0,-27.655873748987002,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_01D9AE7C82794BF28EC9C743A09A5C11,CLAR_VOLT,78.0,1.0,_2BCC3D5923464FED9E08EB12EC388BD7
_02585A763FE446A599EABAAE1946E663,CLAR_ANG,78.0,0.0,_2BCC3D5923464FED9E08EB12EC388BD7
_048E634F63974DB9959C118F947A5C9F,AMHE_VOLT,78.0,0.9999999999999999,_4273A87151C0409780237BFD866C23DA
_0713BD82B583442DBC61E779F2CF286B,AMHE_ANG,78.0,-21.327056356320245,_4273A87151C0409780237BFD866C23DA
_0A37CB75E86846668F178FF9316D695B,WINL_VOLT,78.0,0.9999999999999998,_4F715892155341C8A76534537F095B49
_0A5BDB6E87604E929E2AFBD74EC49D76,WINL_ANG,78.0,-25.31837947018889,_4F715892155341C8A76534537F095B49
_0B47C04EA3A045E3BACA27AF6809CCBF,BOWM_VOLT,78.0,0.8999640696781891,_58F637D8B03A4B12A67DF2E5797F9B6A
_0CDB2CCB4A86457DB174F44B0242DCA4,BOWM_ANG,78.0,-15.379621197564557,_58F637D8B03A4B12A67DF2E5797F9B6A
_0D37A27132EA4D94A8F0749B0766D1CE,TROY_VOLT,78.0,0.8594577245199911,_7324D6723635494784A4D8A9578FCE8A
_0DEC4920744048C5B136B40090428948,TROY_ANG,78.0,-27.2175692851437,_7324D6723635494784A4D8A9578FCE8A
_0E2507C6DA854A39A75E3EBADA882446,MAPL_VOLT,78.0,0.9536328970945781,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_1092FC782BA546479EB039E18D13844D,MAPL_ANG,78.0,-28.312405824440585,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_11691578444A449C95B5D999955F8E3B,GRAN_VOLT,78.0,0.897639334343457,_7DD325DCEFC248989B72AAD58D3DD4E9
_121025A0C8334FEBB8D6BFB953D8CE54,GRAN_ANG,78.0,-33.494362286736646,_7DD325DCEFC248989B72AAD58D3DD4E9
_1329670D0EE04FBAA5D15ED8DA17C073,WAUT_VOLT,78.0,0.9371255313608005,_95D3CD0256FB4C9DB2860CFEFA45CD57
_141EB0670C394F5DB9D2E85567C7C474,WAUT_ANG,78.0,-27.56801955958182,_95D3CD0256FB4C9DB2860CFEFA45CD57
_14F8FF6E7ECD438AAD432529AA2D087F,CROSS_VOLT,78.0,0.8180100316911685,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_160795646A1F4EDA9DAB9898ECC88150,CROSS_ANG,78.0,-30.563467332893417,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_01D9AE7C82794BF28EC9C743A09A5C11,CLAR_VOLT,130.0,1.0,_2BCC3D5923464FED9E08EB12EC388BD7
_02585A763FE446A599EABAAE1946E663,CLAR_ANG,130.0,0.0,_2BCC3D5923464FED9E08EB12EC388BD7
_048E634F63974DB9959C118F947A5C9F,AMHE_VOLT,130.0,0.9999999999999998,_4273A87151C0409780237BFD866C23DA
_0713BD82B583442DBC61E779F2CF286B,AMHE_ANG,130.0,-19.679395257305003,_4273A87151C0409780237BFD866C23DA
_0A37CB75E86846668F178FF9316D695B,WINL_VOLT,130.0,1.0,_4F715892155341C8A76534537F095B49
_0A5BDB6E87604E929E2AFBD74EC49D76,WINL_ANG,130.0,-23.89766611958459,_4F715892155341C8A76534537F095B49
_0B47C04EA3A045E3BACA27AF6809CCBF,BOWM_VOLT,130.0,0.8983437701368038,_58F637D8B03A4B12A67DF2E5797F9B6A
_0CDB2CCB4A86457DB174F44B0242DCA4,BOWM_ANG,130.0,-14.815601104038906,_58F637D8B03A4B12A67DF2E5797F9B6A
_0D37A27132EA4D94A8F0749B0766D1CE,TROY_VOLT,130.0,0.8572589056623476,_7324D6723635494784A4D8A9578FCE8A
_0DEC4920744048C5B136B40090428948,TROY_ANG,130.0,-26.503447695538824,_7324D6723635494784A4D8A9578FCE8A
_0E2507C6DA854A39A75E3EBADA882446,MAPL_VOLT,130.0,0.9563714984724252,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_1092FC782BA546479EB039E18D13844D,MAPL_ANG,130.0,-26.88311120177949,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_11691578444A449C95B5D999955F8E3B,GRAN_VOLT,130.0,0.9065564997532509,_7DD325DCEFC248989B72AAD58D3DD4E9
_121025A0C8334FEBB8D6BFB953D8CE54,GRAN_ANG,130.0,-31.618906835034704,_7DD325DCEFC248989B72AAD58D3DD4E9
_1329670D0EE04FBAA5D15ED8DA17C073,WAUT_VOLT,130.0,0.9392039074846144,_95D3CD0256FB4C9DB2860CFEFA45CD57
_141EB0670C394F5DB9D2E85567C7C474,WAUT_ANG,130.0,-25.906493057453797,_95D3CD0256FB4C9DB2860CFEFA45CD57
_14F8FF6E7ECD438AAD432529AA2D087F,CROSS_VOLT,130.0,0.809155887888964,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_160795646A1F4EDA9DAB9898ECC88150,CROSS_ANG,130.0,-29.265847303798697,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_01D9AE7C82794BF28EC9C743A09A5C11,CLAR_VOLT,13.0,1.0,_2BCC3D5923464FED9E08EB12EC388BD7
_02585A763FE446A599EABAAE1946E663,CLAR_ANG,13.0,0.0,_2BCC3D5923464FED9E08EB12EC388BD7
_048E634F63974DB9959C118F947A5C9F,AMHE_VOLT,13.0,0.9999999999999998,_4273A87151C0409780237BFD866C23DA
_0713BD82B583442DBC61E779F2CF286B,AMHE_ANG,13.0,-22.978877863817793,_4273A87151C0409780237BFD866C23DA
_0A37CB75E86846668F178FF9316D695B,WINL_VOLT,13.0,0.9999999999999996,_4F715892155341C8A76534537F095B49
_0A5BDB6E87604E929E2AFBD74EC49D76,WINL_ANG,13.0,-27.04935869229974,_4F715892155341C8A76534537F095B49
_0B47C04EA3A045E3BACA27AF6809CCBF,BOWM_VOLT,13.0,0.8843480579143448,_58F637D8B03A4B12A67DF2E5797F9B6A
_0CDB2CCB4A86457DB174F44B0242DCA4,BOWM_ANG,13.0,-16.118175839508982,_58F637D8B03A4B12A67DF2E5797F9B6A
_0D37A27132EA4D94A8F0749B0766D1CE,TROY_VOLT,13.0,0.8349328500751302,_7324D6723635494784A4D8A9578FCE8A
_0DEC4920744048C5B136B40090428948,TROY_ANG,13.0,-28.958984683326207,_7324D6723635494784A4D8A9578FCE8A
_0E2507C6DA854A39A75E3EBADA882446,MAPL_VOLT,13.0,0.9517281057052688,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_1092FC782BA546479EB039E18D13844D,MAPL_ANG,13.0,-30.04938277618639,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_11691578444A449C95B5D999955F8E3B,GRAN_VOLT,13.0,0.905348273271867,_7DD325DCEFC248989B72AAD58D3DD4E9
_121025A0C8334FEBB8D6BFB953D8CE54,GRAN_ANG,13.0,-35.06469605698148,_7DD325DCEFC248989B72AAD58D3DD4E9
_1329670D0EE04FBAA5D15ED8DA17C073,WAUT_VOLT,13.0,0.9362848729801101,_95D3CD0256FB4C9DB2860CFEFA45CD57
_141EB0670C394F5DB9D2E85567C7C474,WAUT_ANG,13.0,-29.22546691326031,_95D3CD0256FB4C9DB2860CFEFA45CD57
_14F8FF6E7ECD438AAD432529AA2D087F,CROSS_VOLT,13.0,0.7953969019459525,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_160795646A1F4EDA9DAB9898ECC88150,CROSS_ANG,13.0,-32.27637941449312,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_01D9AE7C82794BF28EC9C743A09A5C11,CLAR_VOLT,190.0,1.0,_2BCC3D5923464FED9E08EB12EC388BD7
_02585A763FE446A599EABAAE1946E663,CLAR_ANG,190.0,0.0,_2BCC3D5923464FED9E08EB12EC388BD7
_048E634F63974DB9959C118F947A5C9F,AMHE_VOLT,190.0,0.9999999999999999,_4273A87151C0409780237BFD866C23DA
_0713BD82B583442DBC61E779F2CF286B,AMHE_ANG,190.0,-20.34458009362364,_4273A87151C0409780237BFD866C23DA
_0A37CB75E86846668F178FF9316D695B,WINL_VOLT,190.0,1.0,_4F715892155341C8A76534537F095B49
_0A5BDB6E87604E929E2AFBD74EC49D76,WINL_ANG,190.0,-24.95750857158719,_4F715892155341C8A76534537F095B49
_0B47C04EA3A045E3BACA27AF6809CCBF,BOWM_VOLT,190.0,0.9035879541858389,_58F637D8B03A4B12A67DF2E5797F9B6A
_0CDB2CCB4A86457DB174F44B0242DCA4,BOWM_ANG,190.0,-15.057147160848652,_58F637D8B03A4B12A67DF2E5797F9B6A
_0D37A27132EA4D94A8F0749B0766D1CE,TROY_VOLT,190.0,0.862969928612377,_7324D6723635494784A4D8A9578FCE8A
_0DEC4920744048C5B136B40090428948,TROY_ANG,190.0,-27.604567683161218,_7324D6723635494784A4D8A9578FCE8A
_0E2507C6DA854A39A75E3EBADA882446,MAPL_VOLT,190.0,0.9586102908125416,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_1092FC782BA546479EB039E18D13844D,MAPL_ANG,190.0,-27.935974982819896,_7AC1BC6CDFAF4F26A97AD322E9F5AD31
_11691578444A449C95B5D999955F8E3B,GRAN_VOLT,190.0,0.9105325921880735,_7DD325DCEFC248989B72AAD58D3DD4E9
_121025A0C8334FEBB8D6BFB953D8CE54,GRAN_ANG,190.0,-32.654581965397526,_7DD325DCEFC248989B72AAD58D3DD4E9
_1329670D0EE04FBAA5D15ED8DA17C073,WAUT_VOLT,190.0,0.9426934100180733,_95D3CD0256FB4C9DB2860CFEFA45CD57
_141EB0670C394F5DB9D2E85567C7C474,WAUT_ANG,190.0,-26.54853680027369,_95D3CD0256FB4C9DB2860CFEFA45CD57
_14F8FF6E7ECD438AAD432529AA2D087F,CROSS_VOLT,190.0,0.8224577336350943,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_160795646A1F4EDA9DAB9898ECC88150,CROSS_ANG,190.0,-28.862952941394834,_9D8BB8E8B5DB40F6ABF515042B7DFF97
_01D9AE7C82794BF28EC9C743A09A5C11,CLAR_VOLT,110.0,1.0,_2BCC3D5923464FED9E08EB12EC388BD7
_02585A763FE446A599EABAAE1946E663,CLAR_ANG,110.0,0.0,_2BCC3D5923464FED9E08EB12EC388BD7
_048E634F63974DB9959C118F947A5C9F,AMHE_VOLT,110.0,0.9999999999999999,_4273A87151C0409780237BFD866C23DA
_0713BD82B583442DBC61E779F2CF286B,AMHE_ANG,110.0,-22.860362921750653,_4273A87151C0409780237BFD866C23DA
_0A37CB75E86846668F178FF9316D695B,WINL_VOLT,110.0,1.0,_4F715892155341C8A76534537F095B49
_0A5BDB6E87604E929E2AFBD74EC49D76,WINL_ANG,110.0,-27.300566891693173,_4F715892155341C8A76534537F095B49
_0B47C04EA3A045E3BACA27AF6809CCBF,BOWM_VOLT,110.0,0.8891128572277087,_58F637D8B03A4B12A67DF2E5797F9B6A
